neighborhood,price,city
Flatbush - Ditmas Park,"$1,325 ",roomi nyc
Flatbush - Ditmas Park,"$1,500 ",roomi nyc
Flatbush - Ditmas Park,"$1,100 ",roomi nyc
Flatbush - Ditmas Park,"$1,500 ",roomi nyc
Flatbush - Ditmas Park,"$1,700 ",roomi nyc
Flatbush - Ditmas Park,"$1,175 ",roomi nyc
Flatbush - Ditmas Park,"$1,650 ",roomi nyc
Flatbush - Ditmas Park,"$1,600 ",roomi nyc
Fleetwood - Concourse Village,"$1,000 ",roomi nyc
Flushing,"$1,021 ",roomi nyc
Flushing,"$2,000 ",roomi nyc
Flushing,$900 ,roomi nyc
Flushing,"$1,100 ",roomi nyc
Flushing,"$1,200 ",roomi nyc
Flushing,"$2,400 ",roomi nyc
Flushing,"$1,300 ",roomi nyc
Flushing,$950 ,roomi nyc
Flushing,"$1,300 ",roomi nyc
Flushing,"$1,600 ",roomi nyc
Flushing,"$1,100 ",roomi nyc
Flushing,"$1,200 ",roomi nyc
Flushing,"$1,940 ",roomi nyc
Flushing,$950 ,roomi nyc
Flushing,$950 ,roomi nyc
Flushing,"$1,460 ",roomi nyc
Fort Greene,$975 ,roomi nyc
Fort Greene,"$1,475 ",roomi nyc
Fort Greene,"$1,433 ",roomi nyc
Glen Oaks,$850 ,roomi nyc
Gowanus,"$1,800 ",roomi nyc
Gowanus,"$1,175 ",roomi nyc
Gowanus,"$1,400 ",roomi nyc
Gramercy,$775 ,roomi nyc
Greenpoint,$845 ,roomi nyc
Greenpoint,"$2,010 ",roomi nyc
Greenpoint,"$1,450 ",roomi nyc
Greenpoint,$938 ,roomi nyc
Greenpoint,"$1,275 ",roomi nyc
Greenpoint,"$1,100 ",roomi nyc
Greenpoint,"$1,620 ",roomi nyc
Greenpoint,"$1,675 ",roomi nyc
Greenpoint,"$1,000 ",roomi nyc
Greenpoint,$900 ,roomi nyc
Greenpoint,$625 ,roomi nyc
Greenpoint,$950 ,roomi nyc
Greenpoint,"$1,050 ",roomi nyc
Greenpoint,$850 ,roomi nyc
Greenpoint,"$1,250 ",roomi nyc
Greenpoint,"$1,450 ",roomi nyc
Greenpoint,"$1,950 ",roomi nyc
Greenpoint,"$1,200 ",roomi nyc
Greenville,"$1,712 ",roomi nyc
West Village,"$1,010 ",roomi nyc
Greenwood,"$1,092 ",roomi nyc
Greenwood,"$1,747 ",roomi nyc
Guttenberg,"$1,630 ",roomi nyc
Hamilton Heights,"$1,300 ",roomi nyc
Hamilton Heights,"$1,000 ",roomi nyc
Hamilton Heights,$875 ,roomi nyc
Hamilton Heights,"$1,400 ",roomi nyc
Hamilton Heights,"$1,250 ",roomi nyc
Hamilton Heights,"$1,750 ",roomi nyc
Harlem,$900 ,roomi nyc
Harlem,$750 ,roomi nyc
Harlem,"$1,015 ",roomi nyc
Harlem,"$2,056 ",roomi nyc
Harlem,"$1,600 ",roomi nyc
Harlem,"$1,150 ",roomi nyc
Harlem,$800 ,roomi nyc
Harlem,"$1,950 ",roomi nyc
Harlem,"$1,350 ",roomi nyc
Harlem,$960 ,roomi nyc
Harlem,"$1,250 ",roomi nyc
Hell's Kitchen,"$1,600 ",roomi nyc
Hell's Kitchen,$950 ,roomi nyc
Hell's Kitchen,"$1,200 ",roomi nyc
Hell's Kitchen,"$1,270 ",roomi nyc
Downtown,"$1,400 ",roomi nyc
Hoboken,$850 ,roomi nyc
Hoboken,"$1,275 ",roomi nyc
Hoboken,"$1,700 ",roomi nyc
Hoboken,"$1,200 ",roomi nyc
Hoboken,$950 ,roomi nyc
Hoboken,"$1,900 ",roomi nyc
Hoboken,"$1,426 ",roomi nyc
Hoboken,"$1,820 ",roomi nyc
Hoboken,"$1,167 ",roomi nyc
Hoboken,"$1,100 ",roomi nyc
Hudson Heights,"$1,330 ",roomi nyc
Hudson Heights,"$1,400 ",roomi nyc
Inwood,"$1,333 ",roomi nyc
Inwood,"$2,000 ",roomi nyc
Jamaica,"$1,490 ",roomi nyc
Jamaica,$950 ,roomi nyc
Jamaica,"$1,400 ",roomi nyc
Kensington,"$1,275 ",roomi nyc
Kensington,"$1,000 ",roomi nyc
Kensington,"$1,000 ",roomi nyc
Kensington,$975 ,roomi nyc
Kensington,"$1,280 ",roomi nyc
Kensington,"$1,550 ",roomi nyc
Kew Gardens,"$1,300 ",roomi nyc
Kew Gardens,"$1,925 ",roomi nyc
Kips Bay,"$1,250 ",roomi nyc
Kips Bay,$850 ,roomi nyc
Kips Bay,"$1,270 ",roomi nyc
Kips Bay,"$1,750 ",roomi nyc
Long Island City,$950 ,roomi nyc
Long Island City,"$1,200 ",roomi nyc
Long Island City,"$1,200 ",roomi nyc
Lincoln Square,"$1,325 ",roomi nyc
Lincoln Square,"$2,150 ",roomi nyc
Lincoln Square,"$1,000 ",roomi nyc
Long Island City,"$1,100 ",roomi nyc
Long Island City,$850 ,roomi nyc
Long Island City,"$1,000 ",roomi nyc
Long Island City,"$1,600 ",roomi nyc
Long Island City,"$1,450 ",roomi nyc
Long Island City,"$1,150 ",roomi nyc
Long Island City,"$1,350 ",roomi nyc
Long Island City,"$1,600 ",roomi nyc
Long Island City,$900 ,roomi nyc
Long Island City,$840 ,roomi nyc
Long Island City,$950 ,roomi nyc
Long Island City,$950 ,roomi nyc
Long Island City,$800 ,roomi nyc
Long Island City,"$1,350 ",roomi nyc
Long Island City,"$1,400 ",roomi nyc
Long Island City,"$1,100 ",roomi nyc
Long Island City,"$1,400 ",roomi nyc
Long Island City,"$1,100 ",roomi nyc
Long Island City,"$1,550 ",roomi nyc
Long Island City,"$1,450 ",roomi nyc
Long Island City,"$1,200 ",roomi nyc
Long Island City,"$1,500 ",roomi nyc
Long Island City,"$1,850 ",roomi nyc
Long Island City,"$1,675 ",roomi nyc
Long Island City,$835 ,roomi nyc
Long Island City,"$1,100 ",roomi nyc
Long Island City,$825 ,roomi nyc
Long Island City,"$1,100 ",roomi nyc
Lower East Side,"$1,600 ",roomi nyc
Lower Manhattan,"$1,400 ",roomi nyc
Lower Manhattan,"$1,375 ",roomi nyc
Lower Manhattan,"$1,450 ",roomi nyc
Lower Manhattan,$800 ,roomi nyc
Lower Manhattan,$800 ,roomi nyc
Lower Manhattan,"$1,150 ",roomi nyc
Lower Manhattan,"$2,250 ",roomi nyc
Lower Manhattan,"$1,350 ",roomi nyc
Lower Manhattan,"$1,800 ",roomi nyc
Lower Manhattan,"$1,750 ",roomi nyc
Lower Manhattan,"$1,200 ",roomi nyc
Lower Manhattan,"$1,600 ",roomi nyc
Lower Manhattan,"$1,200 ",roomi nyc
Lower Manhattan,"$1,200 ",roomi nyc
Lower Manhattan,$800 ,roomi nyc
Lower Manhattan,$950 ,roomi nyc
Lower Manhattan,"$1,170 ",roomi nyc
Lower Manhattan,"$1,070 ",roomi nyc
Lower Manhattan,"$1,400 ",roomi nyc
Lower Manhattan,"$1,013 ",roomi nyc
Lower Manhattan,$940 ,roomi nyc
Lower Manhattan,"$1,200 ",roomi nyc
Lower Manhattan,"$1,250 ",roomi nyc
Lower Manhattan,$750 ,roomi nyc
Lower Manhattan,"$1,534 ",roomi nyc
Lower Manhattan,"$1,400 ",roomi nyc
Lower Manhattan,$700 ,roomi nyc
Lower Manhattan,"$1,150 ",roomi nyc
Lower Manhattan,$925 ,roomi nyc
Lower Manhattan,"$1,890 ",roomi nyc
Lower Manhattan,"$1,475 ",roomi nyc
Lower Manhattan,"$1,275 ",roomi nyc
Lower Manhattan,"$1,000 ",roomi nyc
Lower Manhattan,$867 ,roomi nyc
Lower Manhattan,$800 ,roomi nyc
Lower Manhattan,"$1,200 ",roomi nyc
Manor Heights,$775 ,roomi nyc
Mariner's Harbor,"$2,280 ",roomi nyc
Maspeth,"$1,050 ",roomi nyc
Midtown,"$1,150 ",roomi nyc
Midtown,"$1,100 ",roomi nyc
Midtown,"$1,000 ",roomi nyc
Midtown,"$1,800 ",roomi nyc
Midtown,"$1,050 ",roomi nyc
Midtown,"$1,850 ",roomi nyc
Midtown,"$1,000 ",roomi nyc
Midtown,"$1,700 ",roomi nyc
Midtown,$950 ,roomi nyc
Midtown,"$1,450 ",roomi nyc
Midtown,$800 ,roomi nyc
Midtown,"$1,550 ",roomi nyc
Midtown,"$1,649 ",roomi nyc
Midtown,"$1,515 ",roomi nyc
Midtown,$870 ,roomi nyc
Midtown,"$1,480 ",roomi nyc
Midtown,"$2,000 ",roomi nyc
Midtown,"$1,800 ",roomi nyc
Midtown,"$1,150 ",roomi nyc
Midtown,$610 ,roomi nyc
Midtown,"$1,379 ",roomi nyc
Midtown,"$1,875 ",roomi nyc
Midtown,$800 ,roomi nyc
Midtown,"$1,200 ",roomi nyc
Midtown,"$1,400 ",roomi nyc
Midtown,"$1,250 ",roomi nyc
Midtown,"$1,125 ",roomi nyc
Midtown,"$1,725 ",roomi nyc
Midtown,"$1,650 ",roomi nyc
Midtown,"$1,600 ",roomi nyc
Midtown,"$1,500 ",roomi nyc
Midtown,$800 ,roomi nyc
Midtown,"$1,100 ",roomi nyc
Midtown,"$1,700 ",roomi nyc
Midtown,"$2,500 ",roomi nyc
Midtown,"$1,400 ",roomi nyc
Midtown,"$1,700 ",roomi nyc
Midtown,"$1,300 ",roomi nyc
Midtown,"$1,250 ",roomi nyc
Midtown,"$1,250 ",roomi nyc
Midtown,$995 ,roomi nyc
Midtown,"$1,400 ",roomi nyc
Midtown,"$1,085 ",roomi nyc
Midtown,"$1,200 ",roomi nyc
Midtown,"$1,100 ",roomi nyc
Midtown,"$1,117 ",roomi nyc
Midtown,"$1,470 ",roomi nyc
Midtown,"$1,500 ",roomi nyc
Midtown,$750 ,roomi nyc
Midtown East,"$1,400 ",roomi nyc
Midtown East,"$1,070 ",roomi nyc
Midtown East,"$1,690 ",roomi nyc
Hell's Kitchen,"$1,250 ",roomi nyc
Midwood,"$1,100 ",roomi nyc
Midwood,"$2,000 ",roomi nyc
Murray Hill,"$1,215 ",roomi nyc
New Hope,$716 ,roomi nyc
New York,"$1,250 ",roomi nyc
New York,$900 ,roomi nyc
New York,"$1,300 ",roomi nyc
NoHo,"$1,340 ",roomi nyc
Nolita,"$1,200 ",roomi nyc
Oakwood,$900 ,roomi nyc
Ossining,"$2,255 ",roomi nyc
Park Slope,"$1,500 ",roomi nyc
Park Slope,"$1,200 ",roomi nyc
Park Slope,"$1,300 ",roomi nyc
Park Slope,"$1,150 ",roomi nyc
Park Slope,$900 ,roomi nyc
Park Slope,"$1,600 ",roomi nyc
Park Slope,"$1,150 ",roomi nyc
Park Slope,$800 ,roomi nyc
Park Slope,"$1,500 ",roomi nyc
Park Slope,"$1,268 ",roomi nyc
Park Slope,"$1,675 ",roomi nyc
Park Versailles,$750 ,roomi nyc
Port Morris,"$1,500 ",roomi nyc
Prospect Heights,$900 ,roomi nyc
Prospect Heights,$725 ,roomi nyc
Prospect Heights,"$1,600 ",roomi nyc
Prospect Heights,"$1,550 ",roomi nyc
Prospect Heights,"$1,350 ",roomi nyc
Prospect Heights,$750 ,roomi nyc
Prospect Heights,"$1,585 ",roomi nyc
Prospect Lefferts Gardens,$950 ,roomi nyc
Prospect Lefferts Gardens,"$1,150 ",roomi nyc
Prospect Lefferts Gardens,"$1,650 ",roomi nyc
Prospect Lefferts Gardens,"$1,400 ",roomi nyc
Prospect Lefferts Gardens,"$2,000 ",roomi nyc
Ridgewood,$966 ,roomi nyc
Ridgewood,"$1,700 ",roomi nyc
Ridgewood,"$1,750 ",roomi nyc
Ridgewood,$500 ,roomi nyc
Ridgewood,"$1,575 ",roomi nyc
Ridgewood,"$1,225 ",roomi nyc
Roosevelt Island,"$1,200 ",roomi nyc
Roosevelt Island,"$1,125 ",roomi nyc
Rose Hill,"$1,300 ",roomi nyc
Sheepshead Bay,$680 ,roomi nyc
Sheepshead Bay,"$2,000 ",roomi nyc
South Slope,"$1,175 ",roomi nyc
Stuyvesant Town,$800 ,roomi nyc
Stuyvesant Town,"$1,600 ",roomi nyc
Stuyvesant Town,"$1,400 ",roomi nyc
Stuyvesant Town,$800 ,roomi nyc
Stuyvesant Town,"$1,300 ",roomi nyc
Stuyvesant Town,"$1,550 ",roomi nyc
Stuyvesant Town,"$1,450 ",roomi nyc
Stuyvesant Town,"$1,200 ",roomi nyc
Stuyvesant Town,"$1,100 ",roomi nyc
Stuyvesant Town,"$1,000 ",roomi nyc
