neighborhood,price,city
Carroll Gardens,"$2,000",roomi nyc
Midtown,"$1,000",roomi nyc
Midtown,"$1,800",roomi nyc
Williamsburg,"$1,200",roomi nyc
Historic Downtown,"$1,400",roomi nyc
Lower Manhattan,"$1,400",roomi nyc
Crown Heights,"$1,100",roomi nyc
Boerum Hill,$900,roomi nyc
Upper Manhattan,"$1,050",roomi nyc
Weehawken,"$1,510",roomi nyc
Upper Manhattan,$825,roomi nyc
New York,"$1,250",roomi nyc
Bushwick,"$1,050",roomi nyc
Upper Manhattan,"$1,050",roomi nyc
East Bronx,$882,roomi nyc
Upper West Side,"$1,050",roomi nyc
Hoboken,$850,roomi nyc
Lower Manhattan,"$1,375",roomi nyc
Yorkville,"$1,100",roomi nyc
Upper East Side,"$1,650",roomi nyc
Midtown West,"$1,250",roomi nyc
Midtown,"$1,050",roomi nyc
Greenpoint,"$2,010",roomi nyc
Midtown,"$1,850",roomi nyc
Harlem,$750,roomi nyc
Upper East Side,"$1,760",roomi nyc
Bushwick,"$1,210",roomi nyc
StuyTown,"$1,600",roomi nyc
Midtown,"$1,000",roomi nyc
Crown Heights,"$1,626",roomi nyc
Midtown,"$1,700",roomi nyc
StuyTown,"$1,400",roomi nyc
Williamsburg,"$1,650",roomi nyc
Lower Manhattan,"$1,450",roomi nyc
Bushwick,"$1,300",roomi nyc
Crown Heights,"$1,600",roomi nyc
New York,$900,roomi nyc
Upper Manhattan,$875,roomi nyc
Upper Manhattan,"$1,642",roomi nyc
Lower Manhattan,$800,roomi nyc
Harlem,"$1,015",roomi nyc
Inwood,"$1,333",roomi nyc
Bushwick,"$2,100",roomi nyc
Upper Manhattan,"$1,300",roomi nyc
Cypress Hills,"$1,000",roomi nyc
Hoboken,"$1,275",roomi nyc
Williamsburg,"$1,100",roomi nyc
Upper West Side,$581,roomi nyc
Prospect Heights,$900,roomi nyc
Gowanus,"$1,800",roomi nyc
Flushing,"$1,021",roomi nyc
Upper Manhattan,"$1,775",roomi nyc
Greenpoint,"$1,450",roomi nyc
Bedford-Stuyvesant,"$1,250",roomi nyc
Crown Heights,"$1,625",roomi nyc
Bedford-Stuyvesant,$770,roomi nyc
Boerum Hill,"$1,200",roomi nyc
Washington Heights,"$1,325",roomi nyc
Lower Manhattan,$800,roomi nyc
Bushwick,$925,roomi nyc
Midtown,$950,roomi nyc
Long Island City,"$1,600",roomi nyc
Midtown,"$1,450",roomi nyc
Bushwick,"$1,850",roomi nyc
Bedford-Stuyvesant,"$1,350",roomi nyc
Midtown,$800,roomi nyc
Upper Manhattan,"$2,700",roomi nyc
Upper Manhattan,"$1,150",roomi nyc
Kew Gardens,"$1,300",roomi nyc
Prospect Heights,$725,roomi nyc
East Williamsburg,"$1,250",roomi nyc
Kew Gardens,"$1,925",roomi nyc
Prospect Heights,"$1,600",roomi nyc
East Williamsburg,"$1,500",roomi nyc
Long Island City,"$1,450",roomi nyc
Downtown Jersey City,"$1,400",roomi nyc
Bedford-Stuyvesant,"$2,000",roomi nyc
Midtown,"$1,550",roomi nyc
Astoria,"$1,400",roomi nyc
Flushing,"$2,000",roomi nyc
Prospect Heights,"$1,550",roomi nyc
Lower Manhattan,"$1,150",roomi nyc
Flushing,$900,roomi nyc
Upper West Side,"$1,005",roomi nyc
Park Slope,"$1,500",roomi nyc
Kips Bay,"$1,250",roomi nyc
Clinton Hill,$900,roomi nyc
Oakwood,$900,roomi nyc
Bushwick,"$1,450",roomi nyc
Prospect Lefferts Gardens,$950,roomi nyc
Flushing,"$1,100",roomi nyc
Long Island City,"$1,150",roomi nyc
Bushwick,"$1,520",roomi nyc
Upper Manhattan,$895,roomi nyc
Upper Manhattan,"$1,000",roomi nyc
Greenpoint,$938,roomi nyc
Midtown,"$1,649",roomi nyc
Bushwick,$775,roomi nyc
Park Slope,"$1,200",roomi nyc
Prospect Heights,"$1,350",roomi nyc
Upper West Side,"$1,690",roomi nyc
Lower East Side,"$1,600",roomi nyc
Greenpoint,"$1,275",roomi nyc
Midtown,"$1,515",roomi nyc
Astoria,$850,roomi nyc
South Slope,"$1,175",roomi nyc
Bushwick,"$1,300",roomi nyc
East Village,"$1,200",roomi nyc
Williamsburg,"$2,435",roomi nyc
Crown Heights,"$1,200",roomi nyc
Clinton Hill,"$1,500",roomi nyc
Midtown,$870,roomi nyc
Upper East Side,"$1,050",roomi nyc
Chelsea,"$1,225",roomi nyc
Flushing,"$1,200",roomi nyc
Williamsburg,"$1,100",roomi nyc
Dyker Heights,"$1,700",roomi nyc
Crown Heights,"$1,233",roomi nyc
Upper West Side,"$1,125",roomi nyc
Long Island City,"$1,350",roomi nyc
New York,"$1,300",roomi nyc
Lincoln Square,"$1,325",roomi nyc
Lower Manhattan,"$2,250",roomi nyc
Long Island City,"$1,600",roomi nyc
Flatbush - Ditmas Park,"$1,000",roomi nyc
Flatbush - Ditmas Park,"$1,325",roomi nyc
Bushwick,$925,roomi nyc
Roosevelt Island,"$1,200",roomi nyc
Upper West Side,"$1,500",roomi nyc
Upper Manhattan,"$1,300",roomi nyc
Long Island City,$900,roomi nyc
Midtown,"$1,480",roomi nyc
Inwood,"$2,000",roomi nyc
Bedford-Stuyvesant,"$1,150",roomi nyc
Bushwick,$900,roomi nyc
Midtown,"$2,000",roomi nyc
Upper East Side,"$1,250",roomi nyc
Upper Manhattan,$950,roomi nyc
Lower Manhattan,"$1,350",roomi nyc
Bushwick,"$1,650",roomi nyc
Upper Manhattan,"$1,100",roomi nyc
Midtown,"$1,800",roomi nyc
Flatbush - Ditmas Park,"$1,500",roomi nyc
Crown Heights,$950,roomi nyc
Long Island City,$840,roomi nyc
Boerum Hill,$850,roomi nyc
Greenpoint,"$1,100",roomi nyc
Yorkville,"$1,000",roomi nyc
West Bronx,"$1,400",roomi nyc
Williamsburg,"$1,250",roomi nyc
